arely,2023-04-07 20:12:11.103913,in
arely,2023-04-07 20:12:18.357706,out
alex,2023-04-07 20:14:06.238745,in
arely,2023-04-08 20:16:28.952846,in
aaaaaaa,2023-04-09 15:00:59.415379,out
aaaaaaa,2023-04-09 15:29:28.782974,in
aaaaaaa,2023-04-09 15:30:10.771638,in
Che,2023-04-26 17:12:40.134241,in
Che,2023-04-26 17:34:40.580207,in
Arely,2023-05-03 19:52:05.617577,in
Arely,2023-05-03 19:54:13.272884,in
Arely,2023-05-03 20:02:44.647862,in
Arely,2023-05-03 20:03:02.519886,out
Dani,2023-05-08 17:09:59.329538,in
Dani,2023-05-08 17:10:05.751590,out
Alejandra,2023-05-10 13:33:39.286462,in
Alexa,2023-05-10 13:36:25.083187,in
Alexa,2023-05-10 13:37:25.774487,in
Alexa,2023-05-10 13:38:51.565211,in
Alexa,2023-05-10 13:41:17.362984,in
Alexa,2023-05-10 13:42:33.657609,in
Alexa,2023-05-10 13:43:53.937908,in
Alexa,2023-05-10 13:44:41.846434,in
Alexa,2023-05-10 13:44:44.432617,out
Daniela,2023-05-11 10:51:57.893684,in
Daniela,2023-05-11 10:55:14.314904,in
Daniela,2023-05-11 10:55:20.694648,out
Daniela,2023-05-11 11:10:57.811541,in
Daniela,2023-05-11 11:11:42.684776,out
Daniela,2023-05-11 14:24:37.994825,in
Daniela,2023-05-11 14:29:39.284870,in
Daniela,2023-05-11 14:34:33.991231,in
Daniela,2023-05-11 14:35:59.199290,in
Daniela,2023-05-11 14:37:25.427171,in
Daniela,2023-05-11 14:38:37.174885,in
Daniela,2023-05-11 14:40:27.886870,in
Daniela,2023-05-11 14:40:31.605744,out
Daniela,2023-05-12 13:19:02.909708,in
Daniela,2023-05-12 13:20:53.752271,in
Daniela,2023-05-12 13:21:01.332178,out
Daniela,2023-05-12 13:23:52.291675,in
Daniela,2023-05-12 13:24:46.621353,in
Daniela,2023-05-12 13:24:50.620254,out
Daniela,2023-05-12 13:25:36.049769,in
Daniela,2023-05-12 13:25:51.946983,out
Daniela,2023-05-12 13:28:09.719596,in
Daniela,2023-05-12 13:29:24.271750,in
Daniela,2023-05-12 13:31:28.471513,in
Daniela,2023-05-12 13:34:18.431072,in
Daniela,2023-05-12 13:36:01.962994,out
Daniela,2023-05-12 13:41:54.702078,in
Daniela,2023-05-12 13:42:00.636146,out
